Protein Group,Protein ID,Accession,Significance,-10lgP,Si5B-Heavy-Hypoxia : Heavy_Area,Si5B-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Hypoxia : Heavy_Area,SiCTL-Heavy-Hypoxia : Light_Area,SiCTL-Heavy-Normoxia : Heavy_Area,SiCTL-Heavy-Normoxia : Light_Area,Ratio Si5B-Heavy-Hypoxia : Heavy,Ratio Si5B-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Hypoxia : Heavy,Ratio SiCTL-Heavy-Hypoxia : Light,Ratio SiCTL-Heavy-Normoxia : Heavy,Ratio SiCTL-Heavy-Normoxia : Light,Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light)_Area,Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light)_Area,Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light)_Area,Ratio Group 1(Si5B-Heavy-Hypoxia : Heavy; Si5B-Heavy-Hypoxia : Light),Ratio Group 3(SiCTL-Heavy-Hypoxia : Heavy; SiCTL-Heavy-Hypoxia : Light),Ratio Group 5(SiCTL-Heavy-Normoxia : Heavy; SiCTL-Heavy-Normoxia : Light),Max Ratio,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description,pSILAC H/N ratio,pSILAC Si5B/CTL Hyp ratio,Total H/N ratio,Total Si5B/CTL Hyp ratio,Accession,Gene Name,Species
310,11125,sp|P43243|MATR3_HUMAN,0.93,179.47,1.06E+08,3.13E+08,5.25E+07,3.03E+08,1.55E+08,3.31E+08,1,2.96,0.5,2.87,1.46,3.13,2.09E+08,1.78E+08,2.43E+08,1,0.85,1.16,1.37,41,26,26,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,94623,Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2,0.34,2.01,0.73,1.18,P43243,MATR3,HUMAN
1172,13363,sp|Q96RN5|MED15_HUMAN,1.98,58.39,2.79E+06,1.17E+06,4.98E+05,2.61E+05,1.21E+06,7.19E+05,1,0.42,0.18,0.09,0.44,0.26,1.98E+06,3.80E+05,9.67E+05,1,0.19,0.49,5.21,4,2,2,13C(6) 15N(4) Silac label,86753,Mediator of RNA polymerase II transcription subunit 15 OS=Homo sapiens GN=MED15 PE=1 SV=2,0.41,5.59,0.39,5.21,Q96RN5,MED15,HUMAN
1183,11773,sp|Q9Y5V3|MAGD1_HUMAN,4.01,108.48,4.65E+06,2.46E+05,9.26E+05,2.97E+04,2.20E+06,2.82E+04,1,0.05,0.2,0.01,0.47,0.01,2.45E+06,4.78E+05,1.11E+06,1,0.2,0.45,5.12,17,10,9,Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,86161,Melanoma-associated antigen D1 OS=Homo sapiens GN=MAGED1 PE=1 SV=3,0.42,5.02,0.43,5.12,Q9Y5V3,MAGD1,HUMAN
1091,11701,sp|O94776|MTA2_HUMAN,3.59,103.74,4.53E+06,8.03E+06,7.76E+05,2.56E+06,6.55E+06,7.14E+06,1,1.77,0.17,0.57,1.45,1.58,6.28E+06,1.67E+06,6.85E+06,1,0.27,1.09,4.1,18,8,7,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,75023,Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1,0.12,5.84,0.24,3.76,O94776,MTA2,HUMAN
931,11441,sp|P56192|SYMC_HUMAN,2.04,169.53,1.17E+07,6.11E+07,3.09E+06,3.44E+07,1.36E+07,3.47E+07,1,5.24,0.27,2.95,1.17,2.98,3.64E+07,1.88E+07,2.42E+07,1,0.52,0.66,1.94,24,19,19,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,101116,Methionine--tRNA ligase  cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2,0.23,3.77,0.78,1.94,P56192,SYMC,HUMAN
1106,12462,sp|Q96GX9|MTNB_HUMAN,1.71,115.8,1.97E+06,8.65E+06,7.95E+05,1.50E+07,5.92E+06,1.42E+07,1,4.39,0.4,7.62,3,7.2,5.31E+06,7.91E+06,1.01E+07,1,1.49,1.89,1.89,26,5,5,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,27125,Methylthioribulose-1-phosphate dehydratase OS=Homo sapiens GN=APIP PE=1 SV=1,0.13,2.48,0.79,0.67,Q96GX9,MTNB,HUMAN
503,11486,sp|Q9NX63|MIC19_HUMAN,1.56,155.22,2.15E+07,2.94E+07,2.78E+06,2.68E+07,1.29E+07,4.17E+07,1,1.37,0.13,1.25,0.6,1.94,2.54E+07,1.48E+07,2.73E+07,1,0.58,1.07,1.85,72,21,21,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,26152,MICOS complex subunit MIC19 OS=Homo sapiens GN=CHCHD3 PE=1 SV=1,0.22,7.73,0.54,1.72,Q9NX63,MIC19,HUMAN
1427,11808,sp|Q66K74|MAP1S_HUMAN,6.23,115.28,8.75E+06,4.28E+07,2.01E+06,7.87E+07,2.89E+06,6.76E+06,1,4.89,0.23,8.99,0.33,0.77,2.58E+07,4.03E+07,4.83E+06,1,1.57,0.19,8.36,10,8,8,Carbamidomethylation; 13C(6) 15N(4) Silac label,112211,Microtubule-associated protein 1S OS=Homo sapiens GN=MAP1S PE=1 SV=2,0.69,4.36,8.36,0.64,Q66K74,MAP1S,HUMAN
260,11540,sp|Q15691|MARE1_HUMAN,1.53,180.04,7.72E+07,1.89E+08,3.35E+07,1.60E+08,1.15E+08,2.00E+08,1,2.45,0.43,2.07,1.49,2.58,1.33E+08,9.68E+07,1.57E+08,1,0.73,1.18,1.62,51,13,13,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,29999,Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3,0.29,2.31,0.62,1.38,Q15691,MARE1,HUMAN
1451,12909,sp|Q15555|MARE2_HUMAN,2.6,80.7,7.48E+06,1.20E+07,3.14E+06,6.60E+06,3.49E+06,4.08E+06,1,1.6,0.42,0.88,0.47,0.54,9.72E+06,4.87E+06,3.78E+06,1,0.5,0.39,2.57,20,6,6,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,37031,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1,0.90,2.39,1.29,2.00,Q15555,MARE2,HUMAN
1818,12694,sp|Q9BTE3|MCMBP_HUMAN,4.29,73.91,3.72E+06,2.14E+06,8.49E+05,1.42E+06,7.90E+06,5.25E+06,1,0.57,0.23,0.38,2.13,1.41,2.93E+06,1.14E+06,6.58E+06,1,0.39,2.25,5.79,7,3,3,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,72980,Mini-chromosome maintenance complex-binding protein OS=Homo sapiens GN=MCMBP PE=1 SV=2,0.11,4.38,0.17,2.58,Q9BTE3,MCMBP,HUMAN
2256,12920,sp|Q8N4C8|MINK1_HUMAN,2.62,58.35,5.13E+05,6.06E+05,1.53E+05,2.88E+05,0,0,1,1.18,0.3,0.56,0,0,5.60E+05,2.21E+05,0,1,0.39,0,256,3,3,2,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,149821,Misshapen-like kinase 1 OS=Homo sapiens GN=MINK1 PE=1 SV=2,#DIV/0!,3.36,#DIV/0!,2.54,Q8N4C8,MINK1,HUMAN
2712,20985,sp|Q9Y6C9|MTCH2_HUMAN,2.37,38.26,1.76E+06,2.16E+05,1.11E+05,1.06E+06,0,0,1,0.12,0.06,0.6,0,0,9.87E+05,5.83E+05,0,1,0.59,0,256,7,2,2,Carbamidomethylation,33331,Mitochondrial carrier homolog 2 OS=Homo sapiens GN=MTCH2 PE=1 SV=1,#DIV/0!,15.88,#DIV/0!,1.69,Q9Y6C9,MTCH2,HUMAN
443,11332,sp|Q15785|TOM34_HUMAN,1.82,161.49,1.57E+07,6.31E+07,5.24E+06,4.60E+07,4.03E+07,5.79E+07,1,4.03,0.33,2.93,2.57,3.7,3.94E+07,2.56E+07,4.91E+07,1,0.65,1.25,1.92,53,14,14,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,34559,Mitochondrial import receptor subunit TOM34 OS=Homo sapiens GN=TOMM34 PE=1 SV=2,0.13,2.99,0.52,1.54,Q15785,TOM34,HUMAN
2653,13460,sp|O94826|TOM70_HUMAN,2.59,40.24,1.12E+05,7.41E+05,0,5.82E+04,0,0,1,6.63,0,0.52,0,0,4.26E+05,2.91E+04,0,1,0.07,0,256,3,2,2,,67455,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens GN=TOMM70 PE=1 SV=1,#DIV/0!,#DIV/0!,#DIV/0!,14.67,O94826,TOM70,HUMAN
1583,12907,sp|O95819|M4K4_HUMAN,3.63,76.05,9.44E+05,2.40E+06,1.16E+05,5.72E+05,2.19E+05,3.01E+05,1,2.54,0.12,0.61,0.23,0.32,1.67E+06,3.44E+05,2.60E+05,1,0.21,0.16,6.43,4,5,4,Deamidation (NQ); 13C(6) 15N(4) Silac label,142101,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=1 SV=2,0.53,8.15,1.32,4.86,O95819,M4K4,HUMAN
2430,12498,sp|Q9NYL2|MLTK_HUMAN,6.59,55.99,1.41E+06,4.23E+06,4.52E+05,2.07E+06,0,0,1,3.01,0.32,1.47,0,0,2.82E+06,1.26E+06,0,1,0.45,0,256,8,4,4,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,91155,Mitogen-activated protein kinase kinase kinase MLT OS=Homo sapiens GN=ZAK PE=1 SV=3,#DIV/0!,3.11,#DIV/0!,2.24,Q9NYL2,MLTK,HUMAN
1198,12218,sp|O43148|MCES_HUMAN,2.49,138.06,3.15E+07,2.47E+07,2.99E+06,1.64E+07,7.10E+06,1.36E+07,1,0.78,0.09,0.52,0.23,0.43,2.81E+07,9.70E+06,1.04E+07,1,0.35,0.37,2.9,21,8,8,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,54844,mRNA cap guanine-N7 methyltransferase OS=Homo sapiens GN=RNMT PE=1 SV=1,0.42,10.54,0.94,2.90,O43148,MCES,HUMAN
2558,13294,sp|Q9UDY8|MALT1_HUMAN,2.32,51.83,3.70E+05,3.34E+06,1.46E+05,5.15E+05,0,0,1,9.02,0.39,1.39,0,0,1.85E+06,3.30E+05,0,1,0.18,0,256,4,2,2,,92272,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 OS=Homo sapiens GN=MALT1 PE=1 SV=1,#DIV/0!,2.53,#DIV/0!,5.61,Q9UDY8,MALT1,HUMAN
1726,12803,sp|Q9NR56|MBNL1_HUMAN,4.88,76.46,2.89E+06,5.30E+06,4.52E+05,9.17E+05,2.29E+06,2.89E+06,1,1.83,0.16,0.32,0.79,1,4.09E+06,6.84E+05,2.59E+06,1,0.17,0.63,5.98,14,7,7,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,41817,Muscleblind-like protein 1 OS=Homo sapiens GN=MBNL1 PE=1 SV=2,0.20,6.40,0.26,5.98,Q9NR56,MBNL1,HUMAN
1453,20877,sp|O00499|BIN1_HUMAN,4.08,96.09,4.61E+06,1.51E+07,1.30E+05,9.97E+06,1.33E+07,2.84E+07,1,3.28,0.03,2.16,2.88,6.17,9.88E+06,5.05E+06,2.09E+07,1,0.51,2.11,4.13,18,7,7,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,64699,Myc box-dependent-interacting protein 1 OS=Homo sapiens GN=BIN1 PE=1 SV=1,0.01,35.35,0.24,1.95,O00499,BIN1,HUMAN
2343,13137,sp|Q99836|MYD88_HUMAN,1.1,49.31,7.20E+05,1.37E+06,1.79E+05,5.89E+05,8.33E+05,1.25E+06,1,1.9,0.25,0.82,1.16,1.73,1.05E+06,3.84E+05,1.04E+06,1,0.37,0.99,2.72,12,2,2,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,33233,Myeloid differentiation primary response protein MyD88 OS=Homo sapiens GN=MYD88 PE=1 SV=1,0.21,4.04,0.37,2.72,Q99836,MYD88,HUMAN
486,11237,sp|Q9NZM1|MYOF_HUMAN,4.05,181.05,7.55E+07,7.50E+07,2.01E+07,8.50E+07,8.27E+06,2.14E+07,1,0.99,0.27,1.13,0.11,0.28,7.52E+07,5.26E+07,1.49E+07,1,0.7,0.2,5.06,26,43,43,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,234706,Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1,2.43,3.75,3.54,1.43,Q9NZM1,MYOF,HUMAN
1153,11529,sp|Q6WCQ1|MPRIP_HUMAN,2.67,124.56,1.01E+07,1.20E+07,2.89E+06,4.82E+06,3.77E+06,3.73E+06,1,1.18,0.29,0.48,0.37,0.37,1.10E+07,3.86E+06,3.75E+06,1,0.35,0.34,2.94,20,14,14,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,116533,Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP PE=1 SV=3,0.77,3.49,1.03,2.86,Q6WCQ1,MPRIP,HUMAN
1174,12261,sp|Q9UJ70|NAGK_HUMAN,4.33,107.57,1.68E+08,4.16E+08,4.50E+06,1.33E+07,1.22E+07,6.30E+07,1,2.48,0.03,0.08,0.07,0.38,2.92E+08,8.91E+06,3.76E+07,1,0.03,0.13,32.73,21,6,6,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,37376,N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=1 SV=4,0.37,37.23,0.24,32.74,Q9UJ70,NAGK,HUMAN
1303,12265,sp|Q9Y303|NAGA_HUMAN,1.28,98.47,1.03E+07,1.49E+07,3.32E+05,1.43E+07,4.59E+06,1.45E+07,1,1.45,0.03,1.38,0.44,1.41,1.26E+07,7.30E+06,9.56E+06,1,0.58,0.76,1.73,33,8,8,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(4) Silac label,43748,N-acetylglucosamine-6-phosphate deacetylase OS=Homo sapiens GN=AMDHD2 PE=1 SV=2,0.07,31.11,0.76,1.73,Q9Y303,NAGA,HUMAN
934,11903,sp|P41227|NAA10_HUMAN,1.85,117.28,5.07E+06,3.19E+07,1.36E+06,1.86E+07,9.94E+06,3.18E+07,1,6.29,0.27,3.67,1.96,6.29,1.85E+07,9.97E+06,2.09E+07,1,0.54,1.13,2.1,61,13,13,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,26458,N-alpha-acetyltransferase 10 OS=Homo sapiens GN=NAA10 PE=1 SV=1,0.14,3.73,0.48,1.85,P41227,NAA10,HUMAN
956,11882,sp|Q9BXJ9|NAA15_HUMAN,1.08,93.3,3.64E+06,1.71E+07,1.58E+06,1.15E+07,3.64E+06,1.32E+07,1,4.68,0.43,3.15,1,3.62,1.04E+07,6.53E+06,8.42E+06,1,0.63,0.81,1.58,13,9,9,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,101272,N-alpha-acetyltransferase 15  NatA auxiliary subunit OS=Homo sapiens GN=NAA15 PE=1 SV=1,0.43,2.31,0.78,1.58,Q9BXJ9,NAA15,HUMAN
2572,13916,sp|P20933|ASPG_HUMAN,2.51,57.74,1.35E+06,3.67E+06,3.95E+05,4.96E+06,0,0,1,2.72,0.29,3.69,0,0,2.51E+06,2.68E+06,0,1,1.07,0,256,12,2,2,Deamidation (NQ),37208,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Homo sapiens GN=AGA PE=1 SV=2,#DIV/0!,3.41,#DIV/0!,0.94,P20933,ASPG,HUMAN
582,11730,sp|O14745|NHRF1_HUMAN,3.41,119.09,6.43E+06,5.15E+07,2.76E+06,2.76E+07,3.70E+07,5.61E+07,1,8,0.43,4.3,5.75,8.71,2.90E+07,1.52E+07,4.65E+07,1,0.52,1.61,3.06,44,11,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,38868,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4,0.07,2.33,0.33,1.91,O14745,NHRF1,HUMAN
1843,13155,sp|O43847|NRDC_HUMAN,0.77,72.55,1.65E+06,3.15E+06,5.80E+04,3.00E+06,1.18E+06,2.25E+06,1,1.91,0.04,1.81,0.71,1.36,2.40E+06,1.53E+06,1.71E+06,1,0.64,0.71,1.57,4,3,3,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(4) Silac label,131571,Nardilysin OS=Homo sapiens GN=NRDC PE=1 SV=2,0.05,28.54,0.89,1.57,O43847,NRDC,HUMAN
2333,12906,sp|Q9NZQ3|SPN90_HUMAN,5.99,65.17,9.33E+05,1.34E+06,1.21E+05,2.26E+05,0,0,1,1.44,0.13,0.24,0,0,1.14E+06,1.73E+05,0,1,0.15,0,256,10,3,3,Carbamidomethylation; 13C(6) 15N(4) Silac label,78960,NCK-interacting protein with SH3 domain OS=Homo sapiens GN=NCKIPSD PE=1 SV=1,#DIV/0!,7.71,#DIV/0!,6.56,Q9NZQ3,SPN90,HUMAN
1360,12241,sp|Q8TBC4|UBA3_HUMAN,3.34,103.67,6.98E+07,1.96E+07,1.97E+06,1.46E+07,1.13E+07,8.34E+06,1,0.28,0.03,0.21,0.16,0.12,4.47E+07,8.30E+06,9.81E+06,1,0.19,0.22,5.39,22,8,8,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,51852,NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens GN=UBA3 PE=1 SV=2,0.17,35.40,0.85,5.39,Q8TBC4,UBA3,HUMAN
1633,12081,sp|P48681|NEST_HUMAN,3.29,83.34,7.21E+06,4.33E+06,2.37E+05,7.01E+05,1.32E+06,1.63E+06,1,0.6,0.03,0.1,0.18,0.23,5.77E+06,4.69E+05,1.47E+06,1,0.08,0.26,12.31,5,7,7,Deamidation (NQ); 13C(6) 15N(4) Silac label,177438,Nestin OS=Homo sapiens GN=NES PE=1 SV=2,0.18,30.42,0.32,12.31,P48681,NEST,HUMAN
1683,12701,sp|O00401|WASL_HUMAN,1.6,75.88,2.60E+06,7.76E+06,1.08E+06,9.12E+06,7.67E+06,1.13E+07,1,2.99,0.41,3.51,2.96,4.36,5.18E+06,5.10E+06,9.49E+06,1,0.98,1.83,1.86,10,4,4,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,54827,Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens GN=WASL PE=1 SV=2,0.14,2.41,0.54,1.02,O00401,WASL,HUMAN
1705,11957,sp|Q04721|NOTC2_HUMAN,2.85,94.43,6.06E+06,6.69E+05,1.80E+06,5.39E+05,1.70E+06,3.25E+05,1,0.11,0.3,0.09,0.28,0.05,3.36E+06,1.17E+06,1.01E+06,1,0.35,0.3,3.32,4,7,7,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,265403,Neurogenic locus notch homolog protein 2 OS=Homo sapiens GN=NOTCH2 PE=1 SV=3,1.06,3.36,1.16,2.87,Q04721,NOTC2,HUMAN
2407,12924,sp|Q15742|NAB2_HUMAN,4.39,72.89,1.75E+08,9.99E+05,1.16E+06,3.09E+05,0,0,1,0.01,0.01,0,0,0,8.82E+07,7.36E+05,0,1,0.01,0,256,7,3,3,13C(6) 15N(4) Silac label,56594,NGFI-A-binding protein 2 OS=Homo sapiens GN=NAB2 PE=1 SV=1,#DIV/0!,150.73,#DIV/0!,119.75,Q15742,NAB2,HUMAN
2036,12506,sp|Q8NBF2|NHLC2_HUMAN,1.16,73.07,7.04E+05,3.83E+06,3.36E+05,2.14E+06,1.76E+06,3.11E+06,1,5.45,0.48,3.04,2.51,4.41,2.27E+06,1.24E+06,2.44E+06,1,0.55,1.07,1.97,12,6,6,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,79444,NHL repeat-containing protein 2 OS=Homo sapiens GN=NHLRC2 PE=1 SV=1,0.19,2.09,0.51,1.83,Q8NBF2,NHLC2,HUMAN
2544,13774,sp|O60934|NBN_HUMAN,1.97,53.27,2.21E+05,6.74E+05,2.51E+04,1.73E+05,7.18E+03,5.24E+03,1,3.05,0.11,0.78,0.03,0.02,4.48E+05,9.92E+04,6.21E+03,1,0.22,0.01,72.09,4,2,2,13C(6) 15N(4) Silac label,84959,Nibrin OS=Homo sapiens GN=NBN PE=1 SV=1,3.49,8.82,15.98,4.51,O60934,NBN,HUMAN
2138,12494,sp|Q86X76|NIT1_HUMAN,6.27,81.88,4.58E+06,8.36E+06,3.03E+05,1.55E+06,0,0,1,1.82,0.07,0.34,0,0,6.47E+06,9.26E+05,0,1,0.14,0,256,15,4,4,Carbamidomethylation,35896,Nitrilase homolog 1 OS=Homo sapiens GN=NIT1 PE=1 SV=2,#DIV/0!,15.12,#DIV/0!,6.99,Q86X76,NIT1,HUMAN
306,11397,sp|P49321|NASP_HUMAN,1.83,203.33,4.95E+07,1.03E+08,2.12E+07,7.56E+07,8.00E+07,9.74E+07,1,2.08,0.43,1.53,1.62,1.97,7.62E+07,4.84E+07,8.87E+07,1,0.64,1.16,1.83,27,16,16,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,85238,Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2,0.27,2.33,0.55,1.57,P49321,NASP,HUMAN
1644,12712,sp|Q9NXR1|NDE1_HUMAN,1.2,79.61,7.14E+06,2.07E+06,2.88E+06,1.94E+06,3.52E+06,2.94E+06,1,0.29,0.4,0.27,0.49,0.41,4.61E+06,2.41E+06,3.23E+06,1,0.52,0.7,1.91,10,3,3,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,38808,Nuclear distribution protein nudE homolog 1 OS=Homo sapiens GN=NDE1 PE=1 SV=2,0.82,2.48,0.75,1.91,Q9NXR1,NDE1,HUMAN
1230,11438,sp|P35658|NU214_HUMAN,2.13,128.96,2.38E+06,1.11E+07,9.85E+05,5.05E+06,2.31E+06,3.65E+06,1,4.65,0.41,2.13,0.97,1.53,6.72E+06,3.02E+06,2.98E+06,1,0.45,0.44,2.26,8,10,10,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,213618,Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2,0.43,2.42,1.01,2.23,P35658,NU214,HUMAN
2302,13345,sp|Q9BW27|NUP85_HUMAN,2.59,49.46,5.41E+04,1.05E+06,9.64E+03,5.43E+04,0,0,1,19.42,0.18,1,0,0,5.53E+05,3.20E+04,0,1,0.06,0,256,3,2,2,,75019,Nuclear pore complex protein Nup85 OS=Homo sapiens GN=NUP85 PE=1 SV=1,#DIV/0!,5.62,#DIV/0!,17.28,Q9BW27,NUP85,HUMAN
1567,11983,sp|Q8N1F7|NUP93_HUMAN,3.17,101.61,3.05E+06,1.65E+07,1.13E+06,6.12E+06,2.24E+06,3.85E+06,1,5.42,0.37,2.01,0.74,1.26,9.77E+06,3.62E+06,3.05E+06,1,0.37,0.31,3.21,11,7,7,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(4) Silac label,93488,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,0.50,2.71,1.19,2.70,Q8N1F7,NUP93,HUMAN
1029,11783,sp|Q8TAT6|NPL4_HUMAN,2.03,120.98,2.79E+06,1.90E+07,8.19E+05,8.60E+06,2.99E+06,9.61E+06,1,6.8,0.29,3.08,1.07,3.44,1.09E+07,4.71E+06,6.30E+06,1,0.43,0.58,2.31,26,10,10,Carbamidomethylation; Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,68120,Nuclear protein localization protein 4 homolog OS=Homo sapiens GN=NPLOC4 PE=1 SV=3,0.27,3.41,0.75,2.31,Q8TAT6,NPL4,HUMAN
2322,13053,sp|Q9Y618|NCOR2_HUMAN,1.94,66.74,1.89E+06,8.03E+05,5.91E+05,3.57E+05,7.42E+05,3.16E+05,1,0.43,0.31,0.19,0.39,0.17,1.35E+06,4.74E+05,5.29E+05,1,0.35,0.39,2.84,3,5,5,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,274802,Nuclear receptor corepressor 2 OS=Homo sapiens GN=NCOR2 PE=1 SV=2,0.80,3.20,0.90,2.84,Q9Y618,NCOR2,HUMAN
3113,14309,sp|Q9H0G5|NSRP1_HUMAN,2.16,29.68,7.67E+05,6.72E+05,6.88E+04,2.00E+04,0,0,1,0.88,0.09,0.03,0,0,7.19E+05,4.44E+04,0,1,0.06,0,256,5,2,2,Carbamidomethylation; 13C(6) 15N(4) Silac label,66390,Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens GN=NSRP1 PE=1 SV=1,#DIV/0!,11.15,#DIV/0!,16.21,Q9H0G5,NSRP1,HUMAN
1475,12248,sp|Q86WB0|NIPA_HUMAN,0.26,100.32,1.99E+06,5.19E+06,5.95E+05,6.40E+06,4.12E+06,4.33E+06,1,2.61,0.3,3.21,2.06,2.17,3.59E+06,3.50E+06,4.22E+06,1,0.97,1.18,1.21,18,6,6,Carbamidomethylation; 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,55262,Nuclear-interacting partner of ALK OS=Homo sapiens GN=ZC3HC1 PE=1 SV=1,0.14,3.35,0.83,1.03,Q86WB0,NIPA,HUMAN
336,20865,sp|P67809|YBOX1_HUMAN,1.27,113.57,6.71E+07,2.70E+08,3.03E+07,4.35E+08,1.05E+08,3.82E+08,1,4.02,0.45,6.49,1.56,5.69,1.68E+08,2.33E+08,2.43E+08,1,1.38,1.45,1.45,45,10,9,Oxidation (M); Deamidation (NQ); 13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,35924,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3,0.29,2.22,0.96,0.72,P67809,YBOX1,HUMAN
1956,13313,sp|P78316|NOP14_HUMAN,1.69,70.95,7.91E+05,4.36E+05,6.08E+04,3.81E+05,5.20E+05,2.33E+05,1,0.55,0.08,0.48,0.66,0.29,6.14E+05,2.21E+05,3.76E+05,1,0.36,0.61,2.78,4,3,3,13C(6) 15N(2) Silac label; 13C(6) 15N(4) Silac label,97668,Nucleolar protein 14 OS=Homo sapiens GN=NOP14 PE=1 SV=3,0.12,13.01,0.59,2.78,P78316,NOP14,HUMAN
2125,12962,sp|Q9H6R4|NOL6_HUMAN,5.54,68.01,3.87E+05,2.75E+06,1.45E+05,1.84E+06,9.25E+04,2.03E+05,1,7.1,0.38,4.76,0.24,0.52,1.57E+06,9.93E+05,1.48E+05,1,0.63,0.09,10.62,5,4,4,Carbamidomethylation; 13C(6) 15N(4) Silac label,127593,Nucleolar protein 6 OS=Homo sapiens GN=NOL6 PE=1 SV=2,1.57,2.66,6.73,1.58,Q9H6R4,NOL6,HUMAN
